grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	interview.1interview.2interview.3interview4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4
1457	OPH	0	0	0	0					0		TP.O.11	TP.O.12	TP.O.13	TP.O.14
1457	RNH	0	0	0	0					0		TP.O.11	TP.O.12	TP.O.13	TP.O.14
1508	GH	0	0	0						0		DN.O.1	DN.O.2	DN.O.3	
1508	WH	0	0	0						0		DN.O.1	DN.O.2	DN.O.3	
1508	OPH	0	0	0						0		DN.O.1	DN.O.2	DN.O.3	
1508	RNH	0	0	0						0		DN.O.1	DN.O.2	DN.O.3	
1580	GH	0	0	0						0		DN.O.1	DN.O.2	DN.O.3	
1580	WH	0	0	0						0		DN.O.1	DN.O.2	DN.O.3	
1580	OPH	0	0	0						0		DN.O.1	DN.O.2	DN.O.3	
1580	RNH	0	0	0						0		DN.O.1	DN.O.2	DN.O.3	
1608	GH	0	0	0						0		KG.O.11	KG.O.12	KG.O.13	
1608	WH	0	0	0						0		KG.O.11	KG.O.12	KG.O.13	
1608	OPH	0	0	0						0		KG.O.11	KG.O.12	KG.O.13	
1608	RNH	0	0	0						0		KG.O.11	KG.O.12	KG.O.13	
1610	GH	0	2	2						22	yearround	KB.O.11	KB.O.12	KB.O.13	
1610	WH	0	0	0						0		KB.O.11	KB.O.12	KB.O.13	
1610	OPH	0	0	0						0		KB.O.11	KB.O.12	KB.O.13	
1610	RNH	0	2	0						20	yearround	KB.O.11	KB.O.12	KB.O.13	
1611	GH	0	2	0				2		20	yearround	KB.O.11	KB.O.12	KB.O.13	
1611	WH	0	0	0						0		KB.O.11	KB.O.12	KB.O.13	
1611	OPH	0	0	0						0		KB.O.11	KB.O.12	KB.O.13	
1611	RNH	0	2	0						20	yearround	KB.O.11	KB.O.12	KB.O.13	
1678	GH	0	0	0						0		KG.O.11	KG.O.12	KG.O.13	
