interview.id	grid.id	date	location	sps.known	confidence.indv	exp.indv	purpose.visit.24	purpose.visit.04	dist to grid	proportion.grid.24	frequency.visits.24	proportion.grid.04	frequency.visits.04	activity1.grid.24	activity2.grid.24	activity3.grid.24	activity1.grid.04	activity2.grid.04	activity3.grid.04	hunting.24	hunting.04	food trees	meat.eaten	body.parts	use.body.parts	season.hunting	gender.respondent	age.respondent	ethnicity.respondent	Comments	replicates
WT.O.21	375	07/12/25	watte	gh, rnh	2	40	mithun, hunting, agriculture	mithun, hunting, agriculture	8	03/04/26	36	1	11	forest	NA	NA	forest	NA	NA	yes	yes	NA	yes	NA	NA	NA	m	50	nyishi	NA	3
WT.O.22	375	07/12/25	watte	gh, rnh	2	50	mithun, hunting, agriculture	mithun, hunting, agriculture	8	03/04/26	1	1	1	forest	NA	NA	forest	NA	NA	yes	yes	NA	yes	NA	NA	NA	m	60	nyishi	NA	3
WT.O.23	375	07/12/25	watte	gh, rnh	2	50	mithun, hunting, agriculture	mithun, hunting, agriculture	8	03/04/26	1	03/04/26	1	forest	NA	NA	forest	NA	NA	yes	yes	NA	yes	NA	NA	NA	m	40	nyishi	NA	3
BM.O.1	417	30/11/25	bichom	gh, rnh	2	20	agriculture	agriculture	-	1	50	1	4	jhum	plantation	NA	jhum	plantation	NA	no	yes	fulloinagaon (Belsmedia)	no	no	no	no	m	30	bugun	NA	3
BM.O.2	417	01/12/25	bichom	gh, rnh	1	35	agriculture	agriculture	-	1	12	03/04/26	12	jhum	plantation	NA	jhum	plantation	NA	no	yes	fulloinagaon (Belsmedia)	no	no	no	no	m	50	bugun	NA	3
BM.O.3	417	01/12/25	bichom	gh, rnh	2	50	wood	wood	-	1	24	1	12	jhum	plantation	NA	jhum	plantation	NA	no	yes	fulloinagaon (Belsmedia)	no	no	no	no	m	50	bugun	NA	3
BN.O.11	423	05/12/25	kadeya	gh,rnh,oph	2	25	hunt, mithun herding	hunt, mithun herding	0	1	30	1	30	jhum	Orange	duabanga plantation	jhum	Orange	duabanga plantation	yes	yes	Tapong (wild avocado), Dinjong, Dhuna, Mekai, Pondon	yes	casque	sell casque of GH to Nyishi for 10,000 per unit, and meat for 2500 per kg. Body oil used for joint pain	not hunted in the nesting season	m	50	aka	NA	4
BN.O.12	423	05/12/25	kadeya	gh,rnh,oph	2	30	hunt, mithun herding	hunt, mithun herding	6	03/04/26	30	03/04/26	30	jhum	Orange	duabanga plantation	jhum	Orange	duabanga plantation	yes	yes	NA	yes	NA	NA	NA	m	40	aka	NA	4
BN.O.13	423	05/12/25	kadeya	gh,rnh,oph	2	35	agriculture, mithun herding	agriculture, mithun herding	0	1	12	1	12	jhum	Orange	duabanga plantation	jhum	Orange	duabanga plantation	yes	yes	NA	yes	NA	NA	NA	m	50	aka	NA	4
BN.O.14	423	05/12/25	kadeya	gh,rnh,oph	2	35	agriculture, mithun herding	agriculture, mithun herding	1	03/04/26	12	03/04/26	12	jhum	Orange	duabanga plantation	jhum	Orange	duabanga plantation	yes	yes	NA	yes	NA	NA	NA	m	50	nyishi	NA	4
LL.O.82	424	08/01/26	champing	gh, rnh	2	20	mithun herding, bamboo collection	mithun herding, bamboo collection	1	1	25	1	25	forest	jhum	plantation	forest	jhum	plantation	no	yes	sangrik, dabou	yes	NA	NA	NA	m	40	nyishi	NA	3
CH.O.3	424	07/01/26	champing	gh, rnh	2	20	mithun herding	mithun herding, bamboo collection	1	03/04/26	3	1	5	forest	jhum	plantation	forest	jhum	plantation	no	yes	peepal	NA	NA	NA	NA	m	41	nyishi	NA	3
CH.O.4	424	07/01/26	champing	gh, rnh	2	20	mithun herding	mithun herding, bamboo collection	1	03/04/26	3	1	5	forest	jhum	plantation	forest	jhum	plantation	no	yes	peepal	NA	NA	NA	NA	m	39	nyishi	NA	3
LM.O.11	426	05/12/25	lumdung	gh,rnh	2	20	logging, hunting	cane collection, hunt	0	1	3	1	6	jhum	logging	plantation	jhum	NA	NA	yes	yes	tanyak, sankya, sanchar, kaso, chyi	yes	NA	NA	NA	m	29	nyishi	NA	3
LM.O.12	426	05/12/25	lumdung	gh,rnh	2	15	logging, hunting	cane collection, hunt	0	1	30	na	na	jhum	logging	plantation	jhum	NA	NA	yes	yes	NA	yes	casque, feathers	traditional head-gear	NA	m	35	nyishi	NA	3
LM.O.13	426	05/12/25	lumdung	gh,rnh	2	35	logging, hunting	cane collection, hunt	0	1	6	1	48	jhum	logging	plantation	jhum	NA	NA	yes	yes	NA	yes	NA	NA	NA	m	50	nyishi	NA	3
SG.O.11	431	13/1/26	sango	wh,rnh	2	40	hunting, mithun herding	hunting, mithun herding	0	1	24	1	24	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
SG.O.12	431	13/1/26	sango	wh,rnh	2	30	hunting, mithun herding	hunting, mithun herding	0	1	24	1	24	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
SG.O.21	431	13/1/26	sango	wh,rnh	2	40	hunting, mithun herding	hunting, mithun herding	0	03/04/26	2	1	4	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
TM.O.11	438	23/2/26	tameng	rnh, gh	2	40	agriculture, mithun herding	agriculture, mithun herding	1	03/04/26	50	1	100	jhum	orange plantation	forest	jhum	orange plantation	forest	yes	yes	teeta chapa, sanchar, bonsam, anga	y	beak, feathers	pudum	NA	m	60	nyishi	NA	4
TM.O.12	438	23/2/26	tameng	rnh, gh	2	20	agriculture, mithun herding	agriculture, mithun herding	1	03/04/26	50	03/04/26	50	jhum	orange plantation	forest	jhum	orange plantation	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	4
TM.O.13	438	23/2/26	tameng	rnh, gh	2	20	agriculture, mithun herding	agriculture, mithun herding	1	1	50	1	50	jhum	orange plantation	forest	jhum	orange plantation	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	4
