grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	season	interview.id1	interview.id2	interview.id3	interview.id4	det.hist
993	WH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
993	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
993	RNH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
1116	GH	2	2	2	NA	NA	NA	NA	NA	year round	PM.O.11	PM.O.12	PM.O.13	NA	222
1116	WH	0	0	0	NA	NA	NA	NA	NA	NA	PM.O.11	PM.O.12	PM.O.13	NA	000
1116	OPH	2	2	2	NA	NA	NA	NA	NA	year round	PM.O.11	PM.O.12	PM.O.13	NA	222
1116	RNH	2	2	2	NA	NA	NA	NA	NA	year round	PM.O.11	PM.O.12	PM.O.13	NA	222
1120	GH	2	2	2	NA	NA	NA	10	NA	year round	BT.O.11	BT.O.12	BT.O.13	NA	222
1120	WH	0	0	0	NA	NA	NA	NA	NA	NA	BT.O.11	BT.O.12	BT.O.13	NA	000
1120	OPH	0	0	0	NA	NA	NA	NA	NA	NA	BT.O.11	BT.O.12	BT.O.13	NA	000
1120	RNH	2	2	2	NA	NA	NA	NA	NA	year round	BT.O.11	BT.O.12	BT.O.13	NA	222
1165	GH	0	0	0	NA	NA	NA	NA	NA	NA	GT.O.11	GT.O.12	GT.O.13	NA	000
1165	WH	0	0	0	NA	NA	NA	NA	NA	NA	GT.O.11	GT.O.12	GT.O.13	NA	000
1165	OPH	0	0	0	NA	NA	NA	NA	NA	NA	GT.O.11	GT.O.12	GT.O.13	NA	000
1165	RNH	2	0	0	NA	NA	NA	NA	NA	NA	GT.O.11	GT.O.12	GT.O.13	NA	200
1166	GH	0	0	0	NA	NA	NA	NA	NA	NA	GT.O.11	GT.O.12	GT.O.13	NA	000
1166	WH	0	0	0	NA	NA	NA	NA	NA	NA	GT.O.11	GT.O.12	GT.O.13	NA	000
1166	OPH	0	0	0	NA	NA	NA	NA	NA	NA	GT.O.11	GT.O.12	GT.O.13	NA	000
1166	RNH	0	0	0	NA	NA	NA	NA	NA	NA	GT.O.11	GT.O.12	GT.O.13	NA	000
1167	GH	0	0	0	NA	NA	NA	NA	NA	NA	RM.O.11	RM.O.12	RM.O.13	NA	000
1167	WH	0	0	0	NA	NA	NA	NA	NA	NA	RM.O.11	RM.O.12	RM.O.13	NA	000
1167	OPH	0	0	0	NA	NA	NA	NA	NA	NA	RM.O.11	RM.O.12	RM.O.13	NA	000
1167	RNH	2	2	2	NA	NA	NA	NA	NA	NA	RM.O.11	RM.O.12	RM.O.13	NA	222
1180	GH	2	2	2	NA	NA	NA	NA	NA	year round	BT.O.11	BT.O.12	BT.O.13	NA	222
1180	WH	0	0	0	NA	NA	NA	NA	NA	NA	BT.O.11	BT.O.12	BT.O.13	NA	000
1180	OPH	0	0	0	NA	NA	NA	NA	NA	NA	BT.O.11	BT.O.12	BT.O.13	NA	000
1180	RNH	2	2	2	NA	NA	NA	12	NA	year round	BT.O.11	BT.O.12	BT.O.13	NA	222
1218	GH	0	0	0	NA	NA	NA	NA	NA	NA	SL.O.11	SL.O.31	SL.O.32	NA	000
