grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4	det.hist
528	OPH	0	0	0	0	NA	NA	NA	NA	NA	KH.O.1	KH.O.2	KH.O.3	NJ.O.1	0000
528	GH	0	0	0	0	0	0	0	NA	summer	KH.O.1	KH.O.2	KH.O.3	NJ.O.1	0000
528	WH	0	0	0	0	0	0	0	NA	NA	KH.O.1	KH.O.2	KH.O.3	NJ.O.1	0000
529	GH	0	0	0	NA	0	0	0	NA	NA	KH.O.1	KH.O.2	KH.O.3	NA	000
529	WH	0	0	0	NA	0	0	0	NA	NA	KH.O.1	KH.O.2	KH.O.3	NA	000
529	OPH	0	0	0	0	0	0	0	NA	NA	KH.O.1	KH.O.2	KH.O.3	NJ.O.1	0000
529	RNH	0	0	0	0	0	0	0	NA	NA	KH.O.1	KH.O.2	KH.O.3	NJ.O.1	0000
550	GH	0	0	0	0	NA	NA	NA	NA	NA	PN.O.11	PN.O.12	PN.O.13	PN.O.14	0000
550	WH	0	0	0	0	NA	NA	NA	NA	NA	PN.O.11	PN.O.12	PN.O.13	PN.O.14	0000
550	OPH	0	0	0	0	NA	NA	NA	NA	NA	PN.O.11	PN.O.12	PN.O.13	PN.O.14	0000
550	RNH	2	2	0	2	NA	NA	NA	3	12,11,1	PN.O.11	PN.O.12	PN.O.13	PN.O.14	2202
553	GH	0	2	0	NA	NA	NA	2	NA	NA	SH.O.11	SH.O.13	SH.O.14	NA	020
553	WH	0	0	0	NA	NA	NA	NA	NA	NA	SH.O.11	SH.O.13	SH.O.14	NA	000
553	OPH	0	0	0	NA	NA	NA	NA	NA	NA	SH.O.11	SH.O.13	SH.O.14	NA	000
553	RNH	0	0	0	NA	NA	NA	NA	NA	NA	SH.O.11	SH.O.13	SH.O.14	NA	000
554	GH	0	0	0	NA	NA	NA	NA	NA	NA	SH.O.11	SH.O.13	SH.O.14	NA	000
554	WH	0	0	0	NA	NA	NA	NA	NA	NA	SH.O.11	SH.O.13	SH.O.14	NA	000
554	OPH	0	0	0	NA	NA	NA	NA	NA	NA	SH.O.11	SH.O.13	SH.O.14	NA	000
554	RNH	0	0	0	NA	NA	NA	NA	NA	NA	SH.O.11	SH.O.13	SH.O.14	NA	000
580	GH	2	2	2	NA	NA	NA	NA	NA	year round	PM.O.11	PM.O.12	PM.O.13	NA	222
580	WH	0	0	0	NA	NA	NA	NA	NA	NA	PM.O.11	PM.O.12	PM.O.13	NA	000
580	OPH	2	2	2	NA	NA	NA	NA	NA	year round	PM.O.11	PM.O.12	PM.O.13	NA	222
580	RNH	2	2	2	NA	NA	NA	NA	NA	year round	PM.O.11	PM.O.12	PM.O.13	NA	222
584	GH	0	0	0	NA	0	0	0	NA	0	JC.O.1	JC.O.2	JC.O.3	NA	000
584	RNH	2	2	0	NA	2	0	0	NA	11,12	JC.O.1	JC.O.2	JC.O.3	NA	220
584	WH	0	0	0	NA	0	0	0	NA	NA	JC.O.1	JC.O.2	JC.O.3	NA	000
584	OPH	0	0	0	NA	0	0	0	NA	NA	JC.O.1	JC.O.2	JC.O.3	NA	000
643	GH	0	0	0	NA	NA	NA	NA	NA	NA	PC.O.1	PC.O.2	PC.O.3	NA	000
643	WH	0	0	0	NA	NA	NA	NA	NA	NA	PC.O.1	PC.O.2	PC.O.3	NA	000
643	OPH	0	1	0	NA	NA	NA	NA	NA	NA	PC.O.1	PC.O.2	PC.O.3	NA	010
643	RNH	0	0	0	NA	NA	NA	NA	NA	NA	PC.O.1	PC.O.2	PC.O.3	NA	000
652	GH	0	0	0	NA	NA	NA	NA	NA	NA	LR.O.12	LR.O.13	LR.O.14	NA	000
652	WH	2	0	0	NA	NA	NA	NA	NA	NA	LR.O.12	LR.O.13	LR.O.14	NA	200
652	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LR.O.12	LR.O.13	LR.O.14	NA	000
652	RNH	0	0	0	NA	NA	NA	NA	NA	NA	LR.O.12	LR.O.13	LR.O.14	NA	000
653	GH	0	0	1	NA	NA	NA	2	NA	NA	JH.O.11	JH.O.12	LR.O.11	NA	001
653	WH	0	0	0	NA	NA	NA	NA	NA	NA	JH.O.11	JH.O.12	LR.O.11	NA	000
653	OPH	0	0	0	NA	NA	NA	NA	NA	NA	JH.O.11	JH.O.12	LR.O.11	NA	000
