"interview.id"	"grid.id"	"date"	"location"	"sps.known"	"confidence.indv"	"exp.indv"	"purpose.visit.24"	"purpose.visit.04"	"dist.to.grid"	"proportion.grid.24"	"frequency.visits.24"	"proportion.grid.04"	"frequency.visits.04"	"activity1.grid.24"	"activity2.grid.24"	"activity3.grid.24"	"activity1.grid.04"	"activity2.grid.04"	"activity3.grid.04"	"hunting.24"	"hunting.04"	"food.trees"	"meat.eaten"	"body.parts"	"use.body.parts"	"season.hunting"	"gender.respondent"	"age.respondent"	"ethnicity.respondent"	"Comments"	"replicates"	"road_length"	"mean_elev"	"elev_band"	"geometry"
"31"	"BP.O.3"	169	"12/12/25"	"bhalukpong"	"gh,wh,oph"	2	16	"patroling"	"patroling"	"2"	"01/02/26"	"10"	"na"	"na"	"protected area"	"restoration"	NA	NA	NA	NA	"no"	"no"	"ficus, banderdima, khari"	"no"	"no"	"no"	"no"	"m"	45	"nyishi"	NA	4	0	302.939675682444	"0-1000m"	"list(c(92.6720183, 92.6652197, 92.7156505, 92.7157643, 92.6720183, 27.0354715, 27.0805739, 27.080685, 27.035543, 27.0354715))"
"32"	"BP.O.4"	169	"12/12/25"	"bhalukpong"	"gh,wh,oph"	2	1	"patroling"	"na"	"2"	"01/02/26"	"100"	"na"	"na"	"protected area"	"restoration"	NA	NA	NA	NA	"no"	"no"	"popuri, banderdima"	"no"	"no"	"no"	"no"	"m"	45	"nyishi"	NA	4	0	302.939675682444	"0-1000m"	"list(c(92.6720183, 92.6652197, 92.7156505, 92.7157643, 92.6720183, 27.0354715, 27.0805739, 27.080685, 27.035543, 27.0354715))"
"33"	"SN.O.11"	170	"17/3/25"	"sukhanala 3 camp"	"gh, wh, oph, rnh"	2	19	"patroling"	"patroling"	"0"	"1"	"100"	"1"	"50"	"protected area"	"restoration"	NA	"protected area"	NA	NA	"no"	"yes"	"popuri, banderdima"	NA	NA	NA	NA	"m"	45	"nyishi"	NA	3	0	282.335975781031	"0-1000m"	"list(c(92.7157643, 92.7156505, 92.7660815, 92.7661752, 92.7157643, 27.035543, 27.080685, 27.080778, 27.0356358, 27.035543))"
"34"	"SN.O.12"	170	"17/3/25"	"sukhanala 3 camp"	"gh, wh, oph, rnh"	2	19	"patroling"	"patroling"	"0"	"1"	"100"	"1"	"50"	"protected area"	"restoration"	NA	"protected area"	NA	NA	"no"	"yes"	"popuri, banderdima"	NA	NA	NA	NA	"m"	45	"nyishi"	NA	3	0	282.335975781031	"0-1000m"	"list(c(92.7157643, 92.7156505, 92.7660815, 92.7661752, 92.7157643, 27.035543, 27.080685, 27.080778, 27.0356358, 27.035543))"
"35"	"SN.O.13"	170	"17/3/25"	"sukhanala 3 camp"	"gh, wh, oph, rnh"	2	19	"patroling"	"patroling"	"0"	"1"	"100"	"1"	"50"	"protected area"	"restoration"	NA	"protected area"	NA	NA	"no"	"yes"	"popuri, banderdima"	NA	NA	NA	NA	"m"	45	"nyishi"	NA	3	0	282.335975781031	"0-1000m"	"list(c(92.7157643, 92.7156505, 92.7660815, 92.7661752, 92.7157643, 27.035543, 27.080685, 27.080778, 27.0356358, 27.035543))"
"36"	"JT.O.11"	184	"19/2/26"	"jote"	"gh,rnh,oph"	2	20	"agriculture, mithun herding"	"agriculture, mithun herding"	"1"	"1"	"50"	"1"	"50"	"bamboo plantation"	"jhum"	"logging"	"forest"	"jhum"	NA	"yes"	"yes"	"hollong, lhepang, sanglee, dhuna"	NA	NA	NA	NA	"m"	40	"nyishi"	NA	3	8070.86175197046	521.998408289379	"0-1000m"	"list(c(93.4215193, 93.421688, 93.4721178, 93.4719289, 93.4215193, 27.0351996, 27.080341, 27.0801807, 27.0350397, 27.0351996))"
"37"	"JT.O.12"	184	"19/2/26"	"jote"	"gh,rnh,oph"	2	40	"agriculture, mithun herding"	"agriculture, mithun herding"	"1"	"1"	"50"	"1"	"50"	"bamboo plantation"	"jhum"	"logging"	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	60	"nyishi"	NA	3	8070.86175197046	521.998408289379	"0-1000m"	"list(c(93.4215193, 93.421688, 93.4721178, 93.4719289, 93.4215193, 27.0351996, 27.080341, 27.0801807, 27.0350397, 27.0351996))"
"38"	"JT.O.13"	184	"19/2/26"	"jote"	"gh,rnh,oph"	2	20	"agriculture, mithun herding"	"agriculture, mithun herding"	"1"	"1"	"50"	"1"	"50"	"bamboo plantation"	"jhum"	"logging"	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	40	"nyishi"	NA	3	8070.86175197046	521.998408289379	"0-1000m"	"list(c(93.4215193, 93.421688, 93.4721178, 93.4719289, 93.4215193, 27.0351996, 27.080341, 27.0801807, 27.0350397, 27.0351996))"
"39"	"JT.O.11"	185	"19/2/26"	"jote"	"gh,rnh,oph"	2	20	"agriculture, mithun herding"	"agriculture, mithun herding"	"0"	"1"	"50"	"1"	"50"	"bamboo plantation"	"jhum"	"logging"	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	40	"nyishi"	"gante modo forest has hornbill nests 40 kms away from the grid"	3	20666.992404523	337.610570585651	"0-1000m"	"list(c(93.4719289, 93.4721178, 93.5225472, 93.5223381, 93.4719289, 27.0350397, 27.0801807, 27.0800024, 27.0348617, 27.0350397))"
"40"	"JT.O.12"	185	"19/2/26"	"jote"	"gh,rnh,oph"	2	40	"agriculture, mithun herding"	"agriculture, mithun herding"	"0"	"1"	"50"	"1"	"50"	"bamboo plantation"	"jhum"	"logging"	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	60	"nyishi"	NA	3	20666.992404523	337.610570585651	"0-1000m"	"list(c(93.4719289, 93.4721178, 93.5225472, 93.5223381, 93.4719289, 27.0350397, 27.0801807, 27.0800024, 27.0348617, 27.0350397))"
